"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"France","2019","Total","Both Sexes","74","Data tabulated by year of occurrence","Final figure, complete","2021","9261",""
"France","2019","Total","Both Sexes","75","Data tabulated by year of occurrence","Final figure, complete","2021","9880",""
"France","2019","Total","Both Sexes","75 - 79","Data tabulated by year of occurrence","Final figure, complete","2021","52396",""
"France","2019","Total","Both Sexes","76","Data tabulated by year of occurrence","Final figure, complete","2021","10031",""
"France","2019","Total","Both Sexes","77","Data tabulated by year of occurrence","Final figure, complete","2021","10202",""
"France","2019","Total","Both Sexes","78","Data tabulated by year of occurrence","Final figure, complete","2021","10006",""
"France","2019","Total","Both Sexes","79","Data tabulated by year of occurrence","Final figure, complete","2021","12277",""
"France","2019","Total","Both Sexes","80","Data tabulated by year of occurrence","Final figure, complete","2021","13633",""
"France","2019","Total","Both Sexes","80 - 84","Data tabulated by year of occurrence","Final figure, complete","2021","80450",""
"France","2019","Total","Both Sexes","81","Data tabulated by year of occurrence","Final figure, complete","2021","14700",""
"France","2019","Total","Both Sexes","82","Data tabulated by year of occurrence","Final figure, complete","2021","15755",""
"France","2019","Total","Both Sexes","83","Data tabulated by year of occurrence","Final figure, complete","2021","17268",""
"France","2019","Total","Both Sexes","84","Data tabulated by year of occurrence","Final figure, complete","2021","19094",""
"France","2019","Total","Both Sexes","85","Data tabulated by year of occurrence","Final figure, complete","2021","20232",""
"France","2019","Total","Both Sexes","85 - 89","Data tabulated by year of occurrence","Final figure, complete","2021","113014",""
"France","2019","Total","Both Sexes","86","Data tabulated by year of occurrence","Final figure, complete","2021","21570",""
"France","2019","Total","Both Sexes","87","Data tabulated by year of occurrence","Final figure, complete","2021","23207",""
"France","2019","Total","Both Sexes","88","Data tabulated by year of occurrence","Final figure, complete","2021","24198",""
"France","2019","Total","Both Sexes","89","Data tabulated by year of occurrence","Final figure, complete","2021","23807",""
"France","2019","Total","Both Sexes","90","Data tabulated by year of occurrence","Final figure, complete","2021","23110",""
"France","2019","Total","Both Sexes","90 - 94","Data tabulated by year of occurrence","Final figure, complete","2021","105106",""
"France","2019","Total","Both Sexes","91","Data tabulated by year of occurrence","Final figure, complete","2021","22774",""
"France","2019","Total","Both Sexes","92","Data tabulated by year of occurrence","Final figure, complete","2021","21323",""
"France","2019","Total","Both Sexes","93","Data tabulated by year of occurrence","Final figure, complete","2021","19902",""
"France","2019","Total","Both Sexes","94","Data tabulated by year of occurrence","Final figure, complete","2021","17997",""
"France","2019","Total","Both Sexes","95","Data tabulated by year of occurrence","Final figure, complete","2021","15306",""
"France","2019","Total","Both Sexes","95 - 99","Data tabulated by year of occurrence","Final figure, complete","2021","53336",""
"France","2019","Total","Both Sexes","96","Data tabulated by year of occurrence","Final figure, complete","2021","13048",""
"France","2019","Total","Both Sexes","97","Data tabulated by year of occurrence","Final figure, complete","2021","10906",""
"France","2019","Total","Both Sexes","98","Data tabulated by year of occurrence","Final figure, complete","2021","8438",""
"France","2019","Total","Both Sexes","99","Data tabulated by year of occurrence","Final figure, complete","2021","5638",""
"France","2019","Total","Both Sexes","100","Data tabulated by year of occurrence","Final figure, complete","2021","2531",""
"France","2019","Total","Both Sexes","100 - 104","Data tabulated by year of occurrence","Final figure, complete","2021","6567",""
"France","2019","Total","Both Sexes","100 +","Data tabulated by year of occurrence","Final figure, complete","2021","7533",""
"France","2019","Total","Both Sexes","101","Data tabulated by year of occurrence","Final figure, complete","2021","1670",""
"France","2019","Total","Both Sexes","102","Data tabulated by year of occurrence","Final figure, complete","2021","1075",""
"France","2019","Total","Both Sexes","103","Data tabulated by year of occurrence","Final figure, complete","2021","648",""
"France","2019","Total","Both Sexes","104","Data tabulated by year of occurrence","Final figure, complete","2021","643",""
"France","2019","Total","Both Sexes","105","Data tabulated by year of occurrence","Final figure, complete","2021","444",""
"France","2019","Total","Both Sexes","105 - 109","Data tabulated by year of occurrence","Final figure, complete","2021","943",""
"France","2019","Total","Both Sexes","106","Data tabulated by year of occurrence","Final figure, complete","2021","258",""
